condition_id,task_family,coverage_job_index,selection_role
abs-candidate-0041242,effort,4,coverage_random_validation
abs-candidate-0005959,solvability,5,coverage_random_validation
abs-candidate-0007849,solvability,0,coverage_random_validation
abs-candidate-0004932,waiting,1,coverage_random_validation
abs-candidate-0032459,bandit,2,coverage_random_validation
abs-candidate-0049525,bandit,3,coverage_random_validation
abs-candidate-0035694,foraging,4,coverage_random_validation
abs-candidate-0014969,information_sampling,5,coverage_random_validation
abs-candidate-0028563,information_sampling,0,coverage_random_validation
abs-candidate-0046476,information_sampling,1,coverage_random_validation
abs-candidate-0044885,foraging,2,coverage_random_validation
abs-candidate-0032424,bandit,3,coverage_random_validation
abs-candidate-0009408,bandit,4,coverage_random_validation
abs-candidate-0051197,debugging,5,coverage_random_validation
abs-candidate-0043334,waiting,0,coverage_random_validation
abs-candidate-0015173,waiting,1,coverage_random_validation
abs-candidate-0004396,bandit,2,coverage_random_validation
abs-candidate-0040410,debugging,3,coverage_random_validation
abs-candidate-0039889,information_sampling,4,coverage_random_validation
abs-candidate-0005680,information_sampling,5,coverage_random_validation
abs-candidate-0036715,bandit,0,coverage_random_validation
abs-candidate-0026399,solvability,1,coverage_random_validation
abs-candidate-0020162,solvability,2,coverage_random_validation
abs-candidate-0005841,information_sampling,3,coverage_random_validation
abs-candidate-0026688,waiting,4,coverage_random_validation
abs-candidate-0033021,solvability,5,coverage_random_validation
abs-candidate-0035103,effort,0,coverage_random_validation
abs-candidate-0010617,effort,1,coverage_random_validation
abs-candidate-0031755,information_sampling,2,coverage_random_validation
abs-candidate-0016924,effort,3,coverage_random_validation
abs-candidate-0006104,bandit,4,coverage_random_validation
abs-candidate-0024808,bandit,5,coverage_random_validation
abs-candidate-0046791,information_sampling,0,coverage_random_validation
abs-candidate-0031877,debugging,1,coverage_random_validation
abs-candidate-0022170,foraging,2,coverage_random_validation
abs-candidate-0005895,foraging,3,coverage_random_validation
abs-candidate-0040903,solvability,4,coverage_random_validation
abs-candidate-0009388,foraging,5,coverage_random_validation
abs-candidate-0052039,foraging,0,coverage_random_validation
abs-candidate-0010047,solvability,1,coverage_random_validation
abs-candidate-0003879,foraging,2,coverage_random_validation
abs-candidate-0031316,effort,3,coverage_random_validation
abs-candidate-0042838,effort,4,coverage_random_validation
abs-candidate-0001917,debugging,5,coverage_random_validation
abs-candidate-0049332,information_sampling,0,coverage_random_validation
abs-candidate-0006522,effort,1,coverage_random_validation
abs-candidate-0032411,foraging,2,coverage_random_validation
abs-candidate-0024132,information_sampling,3,coverage_random_validation
abs-candidate-0047495,bandit,4,coverage_random_validation
abs-candidate-0020406,foraging,5,coverage_random_validation
abs-candidate-0003281,effort,0,coverage_random_validation
abs-candidate-0017289,debugging,1,coverage_random_validation
abs-candidate-0036138,waiting,2,coverage_random_validation
abs-candidate-0012549,effort,3,coverage_random_validation
abs-candidate-0052178,bandit,4,coverage_random_validation
abs-candidate-0028892,information_sampling,5,coverage_random_validation
abs-candidate-0025175,information_sampling,0,coverage_random_validation
abs-candidate-0024767,foraging,1,coverage_random_validation
abs-candidate-0028972,debugging,2,coverage_random_validation
abs-candidate-0048012,debugging,3,coverage_random_validation
abs-candidate-0021259,bandit,4,coverage_random_validation
abs-candidate-0010406,waiting,5,coverage_random_validation
abs-candidate-0038610,effort,0,coverage_random_validation
abs-candidate-0020227,waiting,1,coverage_random_validation
abs-candidate-0017960,effort,2,coverage_random_validation
abs-candidate-0036925,bandit,3,coverage_random_validation
abs-candidate-0032413,information_sampling,4,coverage_random_validation
abs-candidate-0002536,solvability,5,coverage_random_validation
abs-candidate-0034676,effort,0,coverage_random_validation
abs-candidate-0035968,solvability,1,coverage_random_validation
abs-candidate-0004407,waiting,2,coverage_random_validation
abs-candidate-0002761,information_sampling,3,coverage_random_validation
abs-candidate-0039042,information_sampling,4,coverage_random_validation
abs-candidate-0031720,information_sampling,5,coverage_random_validation
abs-candidate-0052564,foraging,0,coverage_random_validation
abs-candidate-0038065,debugging,1,coverage_random_validation
abs-candidate-0026363,foraging,2,coverage_random_validation
abs-candidate-0009092,debugging,3,coverage_random_validation
abs-candidate-0012063,solvability,4,coverage_random_validation
abs-candidate-0003462,waiting,5,coverage_random_validation
abs-candidate-0018318,debugging,0,coverage_random_validation
abs-candidate-0003260,effort,1,coverage_random_validation
abs-candidate-0006502,debugging,2,coverage_random_validation
abs-candidate-0002169,debugging,3,coverage_random_validation
abs-candidate-0037223,waiting,4,coverage_random_validation
abs-candidate-0010350,waiting,5,coverage_random_validation
abs-candidate-0044264,information_sampling,0,coverage_random_validation
abs-candidate-0007503,debugging,1,coverage_random_validation
abs-candidate-0019718,debugging,2,coverage_random_validation
abs-candidate-0008394,foraging,3,coverage_random_validation
abs-candidate-0002064,debugging,4,coverage_random_validation
abs-candidate-0029749,debugging,5,coverage_random_validation
abs-candidate-0006702,information_sampling,0,coverage_random_validation
abs-candidate-0048438,effort,1,coverage_random_validation
abs-candidate-0040782,bandit,2,coverage_random_validation
abs-candidate-0017193,foraging,3,coverage_random_validation
abs-candidate-0021530,effort,4,coverage_random_validation
abs-candidate-0040630,solvability,5,coverage_random_validation
abs-candidate-0020575,solvability,0,coverage_random_validation
abs-candidate-0000711,waiting,1,coverage_random_validation
abs-candidate-0031095,foraging,2,coverage_random_validation
abs-candidate-0017423,bandit,3,coverage_random_validation
abs-candidate-0045176,effort,4,coverage_random_validation
abs-candidate-0014583,solvability,5,coverage_random_validation
abs-candidate-0025548,effort,0,coverage_random_validation
abs-candidate-0033466,debugging,1,coverage_random_validation
abs-candidate-0008340,information_sampling,2,coverage_random_validation
abs-candidate-0040544,bandit,3,coverage_random_validation
abs-candidate-0043143,solvability,4,coverage_random_validation
abs-candidate-0032164,debugging,5,coverage_random_validation
abs-candidate-0038585,foraging,0,coverage_random_validation
abs-candidate-0005231,solvability,1,coverage_random_validation
abs-candidate-0003559,information_sampling,2,coverage_random_validation
abs-candidate-0041457,information_sampling,3,coverage_random_validation
abs-candidate-0016613,solvability,4,coverage_random_validation
abs-candidate-0002308,effort,5,coverage_random_validation
abs-candidate-0004459,bandit,0,coverage_random_validation
abs-candidate-0006365,solvability,1,coverage_random_validation
abs-candidate-0051383,information_sampling,2,coverage_random_validation
abs-candidate-0009132,waiting,3,coverage_random_validation
abs-candidate-0014802,waiting,4,coverage_random_validation
abs-candidate-0022756,debugging,5,coverage_random_validation
abs-candidate-0045878,bandit,0,coverage_random_validation
abs-candidate-0044171,foraging,1,coverage_random_validation
abs-candidate-0013210,foraging,2,coverage_random_validation
abs-candidate-0023317,bandit,3,coverage_random_validation
abs-candidate-0039730,effort,4,coverage_random_validation
abs-candidate-0037173,information_sampling,5,coverage_random_validation
abs-candidate-0024379,effort,0,coverage_random_validation
abs-candidate-0035046,waiting,1,coverage_random_validation
abs-candidate-0044571,solvability,2,coverage_random_validation
abs-candidate-0004079,effort,3,coverage_random_validation
abs-candidate-0009723,bandit,4,coverage_random_validation
abs-candidate-0021191,solvability,5,coverage_random_validation
abs-candidate-0031789,solvability,0,coverage_random_validation
abs-candidate-0011182,information_sampling,1,coverage_random_validation
abs-candidate-0032501,bandit,2,coverage_random_validation
abs-candidate-0004267,waiting,3,coverage_random_validation
abs-candidate-0039389,bandit,4,coverage_random_validation
abs-candidate-0019814,waiting,5,coverage_random_validation
abs-candidate-0043405,effort,0,coverage_random_validation
abs-candidate-0006346,waiting,1,coverage_random_validation
abs-candidate-0013853,bandit,2,coverage_random_validation
abs-candidate-0015437,solvability,3,coverage_random_validation
abs-candidate-0042979,debugging,4,coverage_random_validation
abs-candidate-0045134,effort,5,coverage_random_validation
abs-candidate-0003915,solvability,0,coverage_random_validation
abs-candidate-0029443,foraging,1,coverage_random_validation
abs-candidate-0011117,foraging,2,coverage_random_validation
abs-candidate-0025413,information_sampling,3,coverage_random_validation
abs-candidate-0043703,solvability,4,coverage_random_validation
abs-candidate-0043611,foraging,5,coverage_random_validation
abs-candidate-0012103,bandit,0,coverage_random_validation
abs-candidate-0045999,solvability,1,coverage_random_validation
abs-candidate-0030611,bandit,2,coverage_random_validation
abs-candidate-0035602,bandit,3,coverage_random_validation
abs-candidate-0043553,debugging,4,coverage_random_validation
abs-candidate-0035783,debugging,5,coverage_random_validation
abs-candidate-0037350,effort,0,coverage_random_validation
abs-candidate-0037472,foraging,1,coverage_random_validation
abs-candidate-0030296,bandit,2,coverage_random_validation
abs-candidate-0028939,foraging,3,coverage_random_validation
abs-candidate-0000401,solvability,4,coverage_random_validation
abs-candidate-0011926,effort,5,coverage_random_validation
abs-candidate-0035598,information_sampling,0,coverage_random_validation
abs-candidate-0007621,effort,1,coverage_random_validation
abs-candidate-0011489,solvability,2,coverage_random_validation
abs-candidate-0028464,solvability,3,coverage_random_validation
abs-candidate-0048377,bandit,4,coverage_random_validation
abs-candidate-0032632,effort,5,coverage_random_validation
abs-candidate-0023159,information_sampling,0,coverage_random_validation
abs-candidate-0009340,solvability,1,coverage_random_validation
abs-candidate-0046362,foraging,2,coverage_random_validation
abs-candidate-0049621,effort,3,coverage_random_validation
abs-candidate-0033554,information_sampling,4,coverage_random_validation
abs-candidate-0048809,effort,5,coverage_random_validation
abs-candidate-0021260,foraging,0,coverage_random_validation
abs-candidate-0050896,debugging,1,coverage_random_validation
abs-candidate-0043804,effort,2,coverage_random_validation
abs-candidate-0010075,solvability,3,coverage_random_validation
abs-candidate-0021958,debugging,4,coverage_random_validation
abs-candidate-0020526,solvability,5,coverage_random_validation
abs-candidate-0042903,bandit,0,coverage_random_validation
abs-candidate-0025403,bandit,1,coverage_random_validation
abs-candidate-0020510,bandit,2,coverage_random_validation
abs-candidate-0022804,effort,3,coverage_random_validation
abs-candidate-0032047,foraging,4,coverage_random_validation
abs-candidate-0004629,solvability,5,coverage_random_validation
abs-candidate-0031958,information_sampling,0,coverage_random_validation
abs-candidate-0014354,waiting,1,coverage_random_validation
abs-candidate-0005975,waiting,2,coverage_random_validation
abs-candidate-0018009,effort,3,coverage_random_validation
abs-candidate-0012105,solvability,4,coverage_random_validation
abs-candidate-0002804,waiting,5,coverage_random_validation
abs-candidate-0022576,foraging,0,coverage_random_validation
abs-candidate-0039163,effort,1,coverage_random_validation
abs-candidate-0052477,effort,2,coverage_random_validation
abs-candidate-0026191,waiting,3,coverage_random_validation
abs-candidate-0007651,bandit,4,coverage_random_validation
abs-candidate-0042833,bandit,5,coverage_random_validation
abs-candidate-0024866,solvability,0,coverage_random_validation
abs-candidate-0044304,foraging,1,coverage_random_validation
abs-candidate-0034446,debugging,2,coverage_random_validation
abs-candidate-0008674,foraging,3,coverage_random_validation
abs-candidate-0043947,foraging,4,coverage_random_validation
abs-candidate-0042501,waiting,5,coverage_random_validation
abs-candidate-0040229,bandit,0,coverage_random_validation
abs-candidate-0021602,bandit,1,coverage_random_validation
abs-candidate-0017597,debugging,2,coverage_random_validation
abs-candidate-0039533,waiting,3,coverage_random_validation
abs-candidate-0011841,waiting,4,coverage_random_validation
abs-candidate-0045666,effort,5,coverage_random_validation
abs-candidate-0034081,effort,0,coverage_random_validation
abs-candidate-0043619,solvability,1,coverage_random_validation
abs-candidate-0003056,waiting,2,coverage_random_validation
abs-candidate-0009002,bandit,3,coverage_random_validation
abs-candidate-0013102,effort,4,coverage_random_validation
abs-candidate-0015219,foraging,5,coverage_random_validation
abs-candidate-0025709,effort,0,coverage_random_validation
abs-candidate-0015732,information_sampling,1,coverage_random_validation
abs-candidate-0050055,effort,2,coverage_random_validation
abs-candidate-0043928,information_sampling,3,coverage_random_validation
abs-candidate-0027675,waiting,4,coverage_random_validation
abs-candidate-0048156,information_sampling,5,coverage_random_validation
abs-candidate-0029168,debugging,0,coverage_random_validation
abs-candidate-0035043,foraging,1,coverage_random_validation
abs-candidate-0003026,solvability,2,coverage_random_validation
abs-candidate-0013351,solvability,3,coverage_random_validation
abs-candidate-0027679,foraging,4,coverage_random_validation
abs-candidate-0028743,foraging,5,coverage_random_validation
abs-candidate-0013672,foraging,0,coverage_random_validation
abs-candidate-0003498,effort,1,coverage_random_validation
abs-candidate-0012008,information_sampling,2,coverage_random_validation
abs-candidate-0043637,debugging,3,coverage_random_validation
abs-candidate-0034217,foraging,4,coverage_random_validation
abs-candidate-0011948,debugging,5,coverage_random_validation
abs-candidate-0040758,waiting,0,coverage_random_validation
abs-candidate-0042598,information_sampling,1,coverage_random_validation
abs-candidate-0027219,information_sampling,2,coverage_random_validation
abs-candidate-0031183,effort,3,coverage_random_validation
abs-candidate-0016693,effort,4,coverage_random_validation
abs-candidate-0028466,waiting,5,coverage_random_validation
abs-candidate-0035869,foraging,0,coverage_random_validation
abs-candidate-0010828,debugging,1,coverage_random_validation
abs-candidate-0029879,information_sampling,2,coverage_random_validation
abs-candidate-0045347,foraging,3,coverage_random_validation
abs-candidate-0047621,bandit,4,coverage_random_validation
abs-candidate-0007424,waiting,5,coverage_random_validation
abs-candidate-0036227,solvability,0,coverage_random_validation
abs-candidate-0031718,foraging,1,coverage_random_validation
abs-candidate-0035088,waiting,2,coverage_random_validation
abs-candidate-0008054,waiting,3,coverage_random_validation
abs-candidate-0028891,solvability,4,coverage_random_validation
abs-candidate-0014806,foraging,5,coverage_random_validation
abs-candidate-0042921,waiting,0,coverage_random_validation
abs-candidate-0029404,waiting,1,coverage_random_validation
abs-candidate-0031380,debugging,2,coverage_random_validation
abs-candidate-0010876,effort,3,coverage_random_validation
abs-candidate-0046126,information_sampling,4,coverage_random_validation
abs-candidate-0049704,waiting,5,coverage_random_validation
abs-candidate-0041369,debugging,0,coverage_random_validation
abs-candidate-0037444,foraging,1,coverage_random_validation
abs-candidate-0009685,waiting,2,coverage_random_validation
abs-candidate-0018943,foraging,3,coverage_random_validation
abs-candidate-0045874,information_sampling,4,coverage_random_validation
abs-candidate-0049855,foraging,5,coverage_random_validation
abs-candidate-0011169,waiting,0,coverage_random_validation
abs-candidate-0030652,debugging,1,coverage_random_validation
abs-candidate-0026417,debugging,2,coverage_random_validation
abs-candidate-0031336,waiting,3,coverage_random_validation
abs-candidate-0044053,solvability,4,coverage_random_validation
abs-candidate-0047561,information_sampling,5,coverage_random_validation
abs-candidate-0045907,foraging,0,coverage_random_validation
abs-candidate-0027187,debugging,1,coverage_random_validation
abs-candidate-0037903,effort,2,coverage_random_validation
abs-candidate-0002325,foraging,3,coverage_random_validation
abs-candidate-0042941,information_sampling,4,coverage_random_validation
abs-candidate-0033295,information_sampling,5,coverage_random_validation
abs-candidate-0052336,waiting,0,coverage_random_validation
abs-candidate-0036098,debugging,1,coverage_random_validation
abs-candidate-0022357,debugging,2,coverage_random_validation
abs-candidate-0012282,waiting,3,coverage_random_validation
abs-candidate-0019450,waiting,4,coverage_random_validation
abs-candidate-0052311,bandit,5,coverage_random_validation
abs-candidate-0028887,effort,0,coverage_random_validation
abs-candidate-0022415,foraging,1,coverage_random_validation
abs-candidate-0014835,solvability,2,coverage_random_validation
abs-candidate-0047550,debugging,3,coverage_random_validation
abs-candidate-0012449,information_sampling,4,coverage_random_validation
abs-candidate-0017684,solvability,5,coverage_random_validation
abs-candidate-0048169,solvability,0,coverage_random_validation
abs-candidate-0049609,bandit,1,coverage_random_validation
abs-candidate-0014912,solvability,2,coverage_random_validation
abs-candidate-0030606,solvability,3,coverage_random_validation
abs-candidate-0023287,effort,4,coverage_random_validation
abs-candidate-0011131,foraging,5,coverage_random_validation
abs-candidate-0043573,effort,0,coverage_random_validation
abs-candidate-0043096,waiting,1,coverage_random_validation
abs-candidate-0050327,waiting,2,coverage_random_validation
abs-candidate-0019471,waiting,3,coverage_random_validation
abs-candidate-0032658,information_sampling,4,coverage_random_validation
abs-candidate-0026785,information_sampling,5,coverage_random_validation
abs-candidate-0028841,foraging,0,coverage_random_validation
abs-candidate-0027764,solvability,1,coverage_random_validation
abs-candidate-0018837,bandit,2,coverage_random_validation
abs-candidate-0003139,information_sampling,3,coverage_random_validation
abs-candidate-0032305,bandit,4,coverage_random_validation
abs-candidate-0000391,debugging,5,coverage_random_validation
abs-candidate-0013301,foraging,0,coverage_random_validation
abs-candidate-0049640,information_sampling,1,coverage_random_validation
abs-candidate-0041873,debugging,2,coverage_random_validation
abs-candidate-0039297,debugging,3,coverage_random_validation
abs-candidate-0029095,information_sampling,4,coverage_random_validation
abs-candidate-0015628,waiting,5,coverage_random_validation
abs-candidate-0041734,bandit,0,coverage_random_validation
abs-candidate-0008577,solvability,1,coverage_random_validation
abs-candidate-0002385,effort,2,coverage_random_validation
abs-candidate-0010579,solvability,3,coverage_random_validation
abs-candidate-0029234,solvability,4,coverage_random_validation
abs-candidate-0021628,effort,5,coverage_random_validation
abs-candidate-0008864,solvability,0,coverage_random_validation
abs-candidate-0045745,bandit,1,coverage_random_validation
abs-candidate-0023927,foraging,2,coverage_random_validation
abs-candidate-0039177,effort,3,coverage_random_validation
abs-candidate-0014357,bandit,4,coverage_random_validation
abs-candidate-0045489,information_sampling,5,coverage_random_validation
abs-candidate-0052068,solvability,0,coverage_random_validation
abs-candidate-0050595,debugging,1,coverage_random_validation
abs-candidate-0011703,debugging,2,coverage_random_validation
abs-candidate-0037012,information_sampling,3,coverage_random_validation
abs-candidate-0010965,information_sampling,4,coverage_random_validation
abs-candidate-0040560,solvability,5,coverage_random_validation
abs-candidate-0045099,effort,0,coverage_random_validation
abs-candidate-0009993,waiting,1,coverage_random_validation
abs-candidate-0047537,bandit,2,coverage_random_validation
abs-candidate-0021398,debugging,3,coverage_random_validation
abs-candidate-0025716,effort,4,coverage_random_validation
abs-candidate-0014661,information_sampling,5,coverage_random_validation
abs-candidate-0032628,foraging,0,coverage_random_validation
abs-candidate-0003507,bandit,1,coverage_random_validation
abs-candidate-0032280,information_sampling,2,coverage_random_validation
abs-candidate-0017537,solvability,3,coverage_random_validation
abs-candidate-0014669,waiting,4,coverage_random_validation
abs-candidate-0009455,effort,5,coverage_random_validation
abs-candidate-0003603,effort,0,coverage_random_validation
abs-candidate-0052279,information_sampling,1,coverage_random_validation
abs-candidate-0031923,information_sampling,2,coverage_random_validation
abs-candidate-0049631,foraging,3,coverage_random_validation
abs-candidate-0040107,waiting,4,coverage_random_validation
abs-candidate-0028949,waiting,5,coverage_random_validation
abs-candidate-0036423,solvability,0,coverage_random_validation
abs-candidate-0014314,debugging,1,coverage_random_validation
abs-candidate-0006065,information_sampling,2,coverage_random_validation
abs-candidate-0002407,debugging,3,coverage_random_validation
abs-candidate-0023838,information_sampling,4,coverage_random_validation
abs-candidate-0029721,debugging,5,coverage_random_validation
abs-candidate-0017123,foraging,0,coverage_random_validation
abs-candidate-0005738,effort,1,coverage_random_validation
abs-candidate-0005221,debugging,2,coverage_random_validation
abs-candidate-0007110,effort,3,coverage_random_validation
abs-candidate-0048500,waiting,4,coverage_random_validation
abs-candidate-0026346,effort,5,coverage_random_validation
abs-candidate-0051960,debugging,0,coverage_random_validation
abs-candidate-0044124,information_sampling,1,coverage_random_validation
abs-candidate-0000050,foraging,2,coverage_random_validation
abs-candidate-0004983,debugging,3,coverage_random_validation
abs-candidate-0010453,solvability,4,coverage_random_validation
abs-candidate-0030386,debugging,5,coverage_random_validation
abs-candidate-0040277,debugging,0,coverage_random_validation
abs-candidate-0049629,debugging,1,coverage_random_validation
abs-candidate-0041575,solvability,2,coverage_random_validation
abs-candidate-0030418,information_sampling,3,coverage_random_validation
abs-candidate-0030957,information_sampling,4,coverage_random_validation
abs-candidate-0033116,debugging,5,coverage_random_validation
abs-candidate-0006889,foraging,0,coverage_random_validation
abs-candidate-0014283,information_sampling,1,coverage_random_validation
abs-candidate-0031693,waiting,2,coverage_random_validation
abs-candidate-0029535,solvability,3,coverage_random_validation
abs-candidate-0037718,solvability,4,coverage_random_validation
abs-candidate-0019235,debugging,5,coverage_random_validation
abs-candidate-0042942,waiting,0,coverage_random_validation
abs-candidate-0003300,information_sampling,1,coverage_random_validation
abs-candidate-0036870,foraging,2,coverage_random_validation
abs-candidate-0039946,waiting,3,coverage_random_validation
abs-candidate-0041177,information_sampling,4,coverage_random_validation
abs-candidate-0002657,waiting,5,coverage_random_validation
abs-candidate-0018940,effort,0,coverage_random_validation
abs-candidate-0025396,bandit,1,coverage_random_validation
abs-candidate-0040160,foraging,2,coverage_random_validation
abs-candidate-0014590,solvability,3,coverage_random_validation
abs-candidate-0029551,waiting,4,coverage_random_validation
abs-candidate-0018014,information_sampling,5,coverage_random_validation
abs-candidate-0038290,bandit,0,coverage_random_validation
abs-candidate-0046798,information_sampling,1,coverage_random_validation
abs-candidate-0049930,debugging,2,coverage_random_validation
abs-candidate-0002567,effort,3,coverage_random_validation
abs-candidate-0029606,information_sampling,4,coverage_random_validation
abs-candidate-0014966,bandit,5,coverage_random_validation
abs-candidate-0005989,waiting,0,coverage_random_validation
abs-candidate-0026087,effort,1,coverage_random_validation
abs-candidate-0007320,effort,2,coverage_random_validation
abs-candidate-0031445,foraging,3,coverage_random_validation
abs-candidate-0007580,debugging,4,coverage_random_validation
abs-candidate-0005563,effort,5,coverage_random_validation
abs-candidate-0046797,solvability,0,coverage_random_validation
abs-candidate-0020435,solvability,1,coverage_random_validation
abs-candidate-0035219,solvability,2,coverage_random_validation
abs-candidate-0004870,effort,3,coverage_random_validation
abs-candidate-0048233,information_sampling,4,coverage_random_validation
abs-candidate-0002538,waiting,5,coverage_random_validation
abs-candidate-0023694,debugging,0,coverage_random_validation
abs-candidate-0025973,information_sampling,1,coverage_random_validation
abs-candidate-0024434,waiting,2,coverage_random_validation
abs-candidate-0037662,solvability,3,coverage_random_validation
abs-candidate-0042626,information_sampling,4,coverage_random_validation
abs-candidate-0039160,solvability,5,coverage_random_validation
abs-candidate-0004107,effort,0,coverage_random_validation
abs-candidate-0046513,effort,1,coverage_random_validation
abs-candidate-0037380,bandit,2,coverage_random_validation
abs-candidate-0049600,effort,3,coverage_random_validation
abs-candidate-0018929,foraging,4,coverage_random_validation
abs-candidate-0043668,solvability,5,coverage_random_validation
abs-candidate-0022278,waiting,0,coverage_random_validation
abs-candidate-0012884,waiting,1,coverage_random_validation
abs-candidate-0000459,waiting,2,coverage_random_validation
abs-candidate-0023214,solvability,3,coverage_random_validation
abs-candidate-0049951,debugging,4,coverage_random_validation
abs-candidate-0009513,bandit,5,coverage_random_validation
abs-candidate-0043048,effort,0,coverage_random_validation
abs-candidate-0010571,foraging,1,coverage_random_validation
abs-candidate-0002837,solvability,2,coverage_random_validation
abs-candidate-0050397,waiting,3,coverage_random_validation
abs-candidate-0007950,effort,4,coverage_random_validation
abs-candidate-0015027,effort,5,coverage_random_validation
abs-candidate-0013166,debugging,0,coverage_random_validation
abs-candidate-0027782,debugging,1,coverage_random_validation
abs-candidate-0022955,solvability,2,coverage_random_validation
abs-candidate-0006499,information_sampling,3,coverage_random_validation
abs-candidate-0040250,bandit,4,coverage_random_validation
abs-candidate-0052297,bandit,5,coverage_random_validation
abs-candidate-0022320,waiting,0,coverage_random_validation
abs-candidate-0041239,solvability,1,coverage_random_validation
abs-candidate-0009795,solvability,2,coverage_random_validation
abs-candidate-0046252,information_sampling,3,coverage_random_validation
abs-candidate-0000814,solvability,4,coverage_random_validation
